Cote d'Ivoire,CIV,GDP per capita (current US$),NY.GDP.PCAP.CD,1569.928275
Croatia,HRV,GDP per capita (current US$),NY.GDP.PCAP.CD,13467.46827
Cuba,CUB,GDP per capita (current US$),NY.GDP.PCAP.CD,7050.50199
Cyprus,CYP,GDP per capita (current US$),NY.GDP.PCAP.CD,27340.88382
Czech Republic,CZE,GDP per capita (current US$),NY.GDP.PCAP.CD,19744.55861
Denmark,DNK,GDP per capita (current US$),NY.GDP.PCAP.CD,62548.98502
Djibouti,DJI,GDP per capita (current US$),NY.GDP.PCAP.CD,1740.915011
Dominica,DMA,GDP per capita (current US$),NY.GDP.PCAP.CD,7195.39349
Dominican Republic,DOM,GDP per capita (current US$),NY.GDP.PCAP.CD,6268.692122
Ecuador,ECU,GDP per capita (current US$),NY.GDP.PCAP.CD,6396.630483
"Egypt, Arab Rep.",EGY,GDP per capita (current US$),NY.GDP.PCAP.CD,3327.754247
El Salvador,SLV,GDP per capita (current US$),NY.GDP.PCAP.CD,3988.771871
Equatorial Guinea,GNQ,GDP per capita (current US$),NY.GDP.PCAP.CD,19245.65151
Estonia,EST,GDP per capita (current US$),NY.GDP.PCAP.CD,19949.58138
Ethiopia,ETH,GDP per capita (current US$),NY.GDP.PCAP.CD,571.1622759
Faroe Islands,FRO,GDP per capita (current US$),NY.GDP.PCAP.CD,57543.66906
Fiji,FJI,GDP per capita (current US$),NY.GDP.PCAP.CD,5045.769926
Finland,FIN,GDP per capita (current US$),NY.GDP.PCAP.CD,49914.61864
France,FRA,GDP per capita (current US$),NY.GDP.PCAP.CD,42955.24287
Gabon,GAB,GDP per capita (current US$),NY.GDP.PCAP.CD,9692.163874
"Gambia, The",GMB,GDP per capita (current US$),NY.GDP.PCAP.CD,434.4656471
Georgia,GEO,GDP per capita (current US$),NY.GDP.PCAP.CD,4429.650075
Germany,DEU,GDP per capita (current US$),NY.GDP.PCAP.CD,48042.56343
Ghana,GHA,GDP per capita (current US$),NY.GDP.PCAP.CD,1432.227943
Greece,GRC,GDP per capita (current US$),NY.GDP.PCAP.CD,21760.9798
